Id,Zipcode,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone
8600000US20601,20601,ZCTA5 20601,25881,10884,12644,193,715,14,377
8600000US20602,20602,ZCTA5 20602,26647,9573,13869,266,824,0,621
8600000US20603,20603,ZCTA5 20603,31733,10540,17435,29,1782,154,216
8600000US20606,20606,ZCTA5 20606,408,394,14,0,0,0,0
8600000US20607,20607,ZCTA5 20607,9730,2105,6844,0,465,0,52
8600000US20608,20608,ZCTA5 20608,744,376,344,13,0,0,0
8600000US20609,20609,ZCTA5 20609,1090,999,2,0,0,0,0
8600000US20611,20611,ZCTA5 20611,945,694,127,27,42,0,0
8600000US20612,20612,ZCTA5 20612,372,338,0,0,0,0,0
8600000US20613,20613,ZCTA5 20613,14284,5517,8039,225,77,0,81
8600000US20615,20615,ZCTA5 20615,433,433,0,0,0,0,0
8600000US20616,20616,ZCTA5 20616,6604,2682,3539,48,99,0,0
8600000US20617,20617,ZCTA5 20617,969,715,128,0,0,0,0
8600000US20618,20618,ZCTA5 20618,811,632,179,0,0,0,0
8600000US20619,20619,ZCTA5 20619,10886,9060,861,0,386,0,133
8600000US20620,20620,ZCTA5 20620,1291,893,312,0,21,0,31
8600000US20621,20621,ZCTA5 20621,1385,680,662,4,0,0,0
8600000US20622,20622,ZCTA5 20622,4781,3733,755,73,6,0,52
8600000US20623,20623,ZCTA5 20623,2773,556,1868,0,31,0,12
8600000US20624,20624,ZCTA5 20624,1229,1171,58,0,0,0,0
8600000US20625,20625,ZCTA5 20625,630,587,8,0,26,0,0
8600000US20626,20626,ZCTA5 20626,247,221,26,0,0,0,0
8600000US20628,20628,ZCTA5 20628,133,133,0,0,0,0,0
8600000US20629,20629,ZCTA5 20629,263,263,0,0,0,0,0
8600000US20630,20630,ZCTA5 20630,291,291,0,0,0,0,0
8600000US20632,20632,ZCTA5 20632,359,301,46,0,0,0,0
8600000US20634,20634,ZCTA5 20634,6769,4673,1680,22,179,0,61
8600000US20636,20636,ZCTA5 20636,10280,9224,521,0,199,0,116
8600000US20637,20637,ZCTA5 20637,5102,3911,815,0,208,0,0
8600000US20639,20639,ZCTA5 20639,14682,11870,1917,52,259,0,77
8600000US20640,20640,ZCTA5 20640,10579,4953,4692,200,201,6,68
8600000US20645,20645,ZCTA5 20645,1117,932,151,0,0,0,0
8600000US20646,20646,ZCTA5 20646,18937,14205,3670,75,525,0,112
8600000US20650,20650,ZCTA5 20650,13472,11804,1247,48,247,0,7
8600000US20653,20653,ZCTA5 20653,25580,16138,6738,147,1208,6,95
8600000US20657,20657,ZCTA5 20657,19639,16052,2634,0,197,0,163
8600000US20658,20658,ZCTA5 20658,1005,721,219,8,17,0,0
8600000US20659,20659,ZCTA5 20659,24010,20702,2314,48,273,6,146
8600000US20660,20660,ZCTA5 20660,28,28,0,0,0,0,0
8600000US20662,20662,ZCTA5 20662,2836,1822,1014,0,0,0,0
8600000US20664,20664,ZCTA5 20664,2746,2077,566,15,88,0,0
8600000US20667,20667,ZCTA5 20667,485,379,20,0,5,0,0
8600000US20670,20670,ZCTA5 20670,1421,1021,226,5,56,6,18
8600000US20674,20674,ZCTA5 20674,813,749,0,0,26,0,0
8600000US20675,20675,ZCTA5 20675,1398,963,264,66,31,0,0
8600000US20676,20676,ZCTA5 20676,4478,3956,498,24,0,0,0
8600000US20677,20677,ZCTA5 20677,2270,1764,411,0,30,0,8
8600000US20678,20678,ZCTA5 20678,12285,8536,3152,0,161,0,3
8600000US20680,20680,ZCTA5 20680,1461,952,325,0,1,0,0
8600000US20684,20684,ZCTA5 20684,1116,841,144,0,8,0,0
8600000US20685,20685,ZCTA5 20685,6313,5164,723,47,44,0,154
8600000US20686,20686,ZCTA5 20686,1020,896,59,0,30,15,11
8600000US20687,20687,ZCTA5 20687,379,365,0,0,0,0,0
8600000US20688,20688,ZCTA5 20688,1559,1424,75,0,12,0,0
8600000US20689,20689,ZCTA5 20689,1440,1075,328,0,0,0,25
8600000US20690,20690,ZCTA5 20690,567,522,0,0,23,0,0
8600000US20692,20692,ZCTA5 20692,1676,1632,29,0,0,0,0
8600000US20693,20693,ZCTA5 20693,1243,957,149,78,0,0,0
8600000US20695,20695,ZCTA5 20695,4829,2236,2195,0,112,0,103
8600000US20701,20701,ZCTA5 20701,92,42,50,0,0,0,0
8600000US20705,20705,ZCTA5 20705,26658,8058,9774,178,4080,0,3721
8600000US20706,20706,ZCTA5 20706,38682,5978,26703,96,1492,0,3696
8600000US20707,20707,ZCTA5 20707,32099,12008,14070,156,2731,0,1968
8600000US20708,20708,ZCTA5 20708,25375,5666,15752,0,1529,0,1716
8600000US20710,20710,ZCTA5 20710,9559,1502,6072,0,175,0,1726
8600000US20711,20711,ZCTA5 20711,6586,5032,1039,9,91,0,288
8600000US20712,20712,ZCTA5 20712,9000,2811,4435,0,93,0,1322
8600000US20714,20714,ZCTA5 20714,4598,3871,157,15,46,0,309
8600000US20715,20715,ZCTA5 20715,26906,16759,7217,180,1064,16,586
