Id,Id2,Total; Estimate; Total population,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 17 years,Total; Estimate; AGE - 18 to 24 years,Total; Estimate; AGE - 25 to 44 years,Total; Estimate; AGE - 45 to 54 years,Total; Estimate; AGE - 55 to 64 years,Total; Estimate; AGE - 65 to 74 years,Total; Estimate; AGE - 75 years and over,Total; Estimate; Median age (years),Total; Estimate; SEX - Male,Total; Estimate; SEX - Female,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Total; Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Total; Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over,"Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $1 to $9,999 or loss","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $10,000 to $14,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $15,000 to $24,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $25,000 to $34,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $35,000 to $49,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $50,000 to $64,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $65,000 to $74,999","Total; Estimate; INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Population 15 years and over - $75,000 or more",Total; Estimate; Median income (dollars),Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined - Below 100 percent of the poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined - 100 to 149 percent of the poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Population for whom poverty status is determined - At or above 150 percent of the poverty level
8600000US20601,20601,25881,5.5,20.3,9.7,27.4,18.7,10.4,5,3.1,35.9,48.3,51.7,95.9,42.1,48.9,0.7,2.8,0.1,1.5,39.2,16695,6.9,30.4,37.7,17,8,1.5,20759,13,6,11.3,6.4,11.8,8.9,5.9,23.4,42882,25809,5.6,2.8,91.7
8600000US20602,20602,26647,8.5,19.5,8.7,32.6,13.5,8.9,4.4,3.8,32.6,45.9,54.1,94.4,35.9,52,1,3.1,0,2.3,32.7,16841,9.4,37.7,30.3,15.2,7.4,1.4,20533,11.7,8.4,9.6,10.4,12,10.8,6,17.2,38095,26443,13.3,7.1,79.6
8600000US20603,20603,31733,6.6,23.7,9,27.8,17,9.8,4,2.2,34.4,47.2,52.8,95,33.2,54.9,0.1,5.6,0.5,0.7,29.1,19255,4.7,22.9,34.8,22,15.7,2.1,23878,10.3,4.5,8.3,4.9,10.6,12.3,5.7,27.8,53129,31604,5.9,4.7,89.5
8600000US20606,20606,408,1.5,14.5,8.6,16.4,15.9,7.1,12.3,23.8,50.5,55.6,44.4,100,96.6,3.4,0,0,0,0,94.4,308,17.9,35.1,42.9,4.2,0,10,368,20.7,13.6,14.7,10.1,3.8,13.3,0,9,23042,408,7.4,20.6,72.1
8600000US20607,20607,9730,4.5,19.6,5.8,24.3,19.4,17.3,5.3,3.9,41.9,47.9,52.1,97.3,21.6,70.3,0,4.8,0,0.5,20,6825,4.7,24.3,30.3,20.1,20.7,3.2,7767,9.9,4.9,6.7,7,11.7,12.7,4.4,34.1,54806,9702,1.8,3.9,94.3
8600000US20608,20608,744,3.9,12.8,3.4,24.2,22.8,11,12.2,9.7,47.6,49.6,50.4,98.5,50.5,46.2,1.7,0,0,0,49.1,595,21.8,39.3,28.2,7.9,2.7,3.1,656,11.9,9.9,10.4,12.3,12.8,11.1,2.3,12.5,33241,744,3.2,9.7,87.1
8600000US20609,20609,1090,5.6,19.1,8.4,21.5,10.4,13.9,12.8,8.4,42.6,56.2,43.8,91.8,91.7,0.2,0,0,0,0,89.8,729,16.3,35.4,28.5,12.3,7.4,5.5,845,15.5,8.3,14.1,9.3,12.2,9.6,3.2,18.2,33583,1090,11.1,2.8,86.1
8600000US20611,20611,945,1,13.4,6.6,18.8,18.9,20.4,9,11.9,51.4,49.9,50.1,94.2,73.4,13.4,2.9,4.4,0,0,71.6,747,3.2,37.2,38.8,12.7,8,4.9,863,9.7,6.8,12.7,10.3,18.2,7.9,6.7,18,39000,945,3.2,1.6,95.2
8600000US20612,20612,372,0,0,0,13.2,14,24.2,3.8,44.9,57.9,44.6,55.4,90.9,90.9,0,0,0,0,0,90.9,372,27.2,35.5,15.9,11.8,9.7,17.1,372,19.4,10.5,7.8,9.1,5.4,26.9,0,7,28971,372,0,33.1,66.9
8600000US20613,20613,14284,5.4,17.1,9.3,25.2,19.9,11.5,7.8,3.7,41.1,51.7,48.3,97.6,38.6,56.3,1.6,0.5,0,0.6,34,9729,9,30.6,34.8,16.9,8.7,2.2,11715,9.8,7,8.9,7.6,11.3,11.8,7.6,23.1,47377,14244,3.5,2.5,94
8600000US20615,20615,433,0,27.5,0,45.7,3.5,4.6,10.4,8.3,38.8,46.7,53.3,100,100,0,0,0,0,0,100,314,6.4,21,41.7,16.2,14.6,24.3,355,0,0,10.1,0,25.9,0,7.6,30.7,72870,433,0,11.5,88.5
8600000US20616,20616,6604,6.6,18.8,10.6,29.2,14.5,9.9,6.8,3.6,35.6,45.9,54.1,96.4,40.6,53.6,0.7,1.5,0,0,37.6,4223,9,36,36.3,14.3,4.4,2.3,5160,13.5,7.6,9,7.4,11.2,13.2,5.9,18.4,41815,6604,4.4,2.7,92.9
8600000US20617,20617,969,2.8,21.6,15.1,15.2,13.7,13.2,12.1,6.4,42.2,40.2,59.8,87,73.8,13.2,0,0,0,0,73.8,587,12.6,22.7,32,10.4,22.3,14.8,770,18.8,10,5.7,9.5,5.1,3.4,1.9,21.9,31346,969,20.7,0,79.3
8600000US20618,20618,811,2.8,10.2,18.1,21.9,11.1,17.5,14.9,3.3,41.4,46.6,53.4,100,77.9,22.1,0,0,0,0,77.9,558,11.3,38.2,37.6,7.2,5.7,5.6,744,21.5,1.2,14.8,7.3,18.5,22.6,0,7.3,40417,811,6.4,2.2,91.4
